GlobalSeq,GreatBooksSet,Evidence,PresentIn1952Set,PresentIn1990Set,EditionNotes,IsGreatBooksCoreOrExpansion,YearLabel,Year,SeqInYear,Author,Work,PlanSelection,FocusSections,Themes,ReadStrategy,IsMissingFromOriginalPlan,PlacementNote,SelectionLogic,GreatIdeas_VolI,GreatIdeas_VolII
278,Expansion (1990),explicit (1990 expansion title),No,Yes,,Yes,Year 10,10,33,Dickens,Little Dorrit,Focus: 'Circumlocution Office' episodes; Marshalsea prison chapters; closing revelations,Focus: 'Circumlocution Office' episodes; Marshalsea prison chapters; closing revelations (Revisit these as anchors after reading the whole work),God; Religion; Sin; Truth,"Read entire text. Then: (1) re-read FocusSections, (2) write 3 questions, (3) connect to 1 earlier text.",Yes,Institutions & modern society,"Inferred pattern: focus on (1) openings that define the question and key terms, (2) the author's central argument or dramatic turning point, (3) representative examples/experiments, and (4) conclusions or climactic resolutions. Assume full reading; revisit these anchors for the 'great conversation' links.",God,Religion; Sin; Truth
279,Expansion (1990),explicit (1990 expansion title),No,Yes,,Yes,Year 10,10,34,George Eliot,Middlemarch,Focus: Books I-II; V-VI; Finale (author's moral reflections),Focus: Books I-II; V-VI; Finale (author's moral reflections) (Revisit these as anchors after reading the whole work),Truth; Knowledge; Reasoning; Justice,"Read entire text. Then: (1) re-read FocusSections, (2) write 3 questions, (3) connect to 1 earlier text.",Yes,19th-c realism late in plan,"Inferred pattern: focus on (1) openings that define the question and key terms, (2) the author's central argument or dramatic turning point, (3) representative examples/experiments, and (4) conclusions or climactic resolutions. Assume full reading; revisit these anchors for the 'great conversation' links.",Knowledge; Justice,Truth; Reasoning
280,Expansion (1990),explicit (1990 expansion title),No,Yes,,Yes,Year 10,10,35,Eugene O'Neill,Mourning Becomes Electra,Focus: Homecoming; The Hunted; The Haunted (trilogy arc),Focus: Homecoming; The Hunted; The Haunted (trilogy arc) (Revisit these as anchors after reading the whole work),Truth; Knowledge; Reasoning; Justice,"Read entire text. Then: (1) re-read FocusSections, (2) write 3 questions, (3) connect to 1 earlier text.",Yes,Greek tragedy in modern key,"Inferred pattern: focus on (1) openings that define the question and key terms, (2) the author's central argument or dramatic turning point, (3) representative examples/experiments, and (4) conclusions or climactic resolutions. Assume full reading; revisit these anchors for the 'great conversation' links.",Knowledge; Justice,Truth; Reasoning
281,Expansion (1990),explicit (1990 expansion title),No,Yes,,Yes,Year 10,10,36,Wittgenstein,Philosophical Investigations,"§§1-43; 65-88; 243-315 (meaning, family resemblance, private language)","§§1-43; 65-88; 243-315 (meaning, family resemblance, private language) (Revisit these as anchors after reading the whole work)",Language; Sign and Symbol; Logic; Mind; Philosophy; Truth; Custom and Convention; Family,"Read entire text. Then: (1) re-read FocusSections, (2) write 3 questions, (3) connect to 1 earlier text.",Yes,Core of ordinary-language/analytic turn,"Inferred pattern: focus on (1) openings that define the question and key terms, (2) the author's central argument or dramatic turning point, (3) representative examples/experiments, and (4) conclusions or climactic resolutions. Assume full reading; revisit these anchors for the 'great conversation' links.",Language; Logic; Custom and Convention; Family,Sign and Symbol; Mind; Philosophy; Truth
282,Expansion (1990),explicit (1990 expansion title),No,Yes,,Yes,Year 10,10,37,Einstein,Relativity: The Special and the General Theory,Focus: Part I ch. 1-8; Part II ch. 10-16,Focus: Part I ch. 1-8; Part II ch. 10-16 (Revisit these as anchors after reading the whole work),Cause; Hypothesis; Mathematics; Physics; Science; Space; Time; Art,"Read entire text. Then: (1) re-read FocusSections, (2) write 3 questions, (3) connect to 1 earlier text.",Yes,Modern physics foundations,"Inferred pattern: focus on (1) openings that define the question and key terms, (2) the author's central argument or dramatic turning point, (3) representative examples/experiments, and (4) conclusions or climactic resolutions. Assume full reading; revisit these anchors for the 'great conversation' links.",Cause; Hypothesis; Art,Mathematics; Physics; Science; Space; Time
283,Expansion (1990),explicit (1990 expansion title),No,Yes,,Yes,Year 10,10,38,Pirandello,Six Characters in Search of an Author,Focus: the intrusion; rehearsal conflicts; final scene ambiguity,Focus: the intrusion; rehearsal conflicts; final scene ambiguity (Revisit these as anchors after reading the whole work),Truth; Knowledge; Reasoning; Justice,"Read entire text. Then: (1) re-read FocusSections, (2) write 3 questions, (3) connect to 1 earlier text.",Yes,Meta-theater & reality,"Inferred pattern: focus on (1) openings that define the question and key terms, (2) the author's central argument or dramatic turning point, (3) representative examples/experiments, and (4) conclusions or climactic resolutions. Assume full reading; revisit these anchors for the 'great conversation' links.",Knowledge; Justice,Truth; Reasoning
284,Expansion (1990),explicit (1990 expansion title),No,Yes,,Yes,Year 10,10,39,F. Scott Fitzgerald,The Great Gatsby,"Ch. 1-3; 6-7; 9 (dream, class, collapse)","Ch. 1-3; 6-7; 9 (dream, class, collapse) (Revisit these as anchors after reading the whole work)",Truth; Knowledge; Reasoning; Justice,"Read entire text. Then: (1) re-read FocusSections, (2) write 3 questions, (3) connect to 1 earlier text.",Yes,Modern American myth,"Inferred pattern: focus on (1) openings that define the question and key terms, (2) the author's central argument or dramatic turning point, (3) representative examples/experiments, and (4) conclusions or climactic resolutions. Assume full reading; revisit these anchors for the 'great conversation' links.",Knowledge; Justice,Truth; Reasoning
285,Expansion (1990),explicit (1990 expansion title),No,Yes,,Yes,Year 10,10,40,Russell,The Problems of Philosophy,"Ch. 1-3; 6; 10; 15 (appearance/reality, knowledge, universals)","Ch. 1-3; 6; 10; 15 (appearance/reality, knowledge, universals) (Revisit these as anchors after reading the whole work)",Knowledge; Truth; Philosophy; Reasoning; Logic; Mind,"Read entire text. Then: (1) re-read FocusSections, (2) write 3 questions, (3) connect to 1 earlier text.",Yes,Bridge to analytic philosophy,"Inferred pattern: focus on (1) openings that define the question and key terms, (2) the author's central argument or dramatic turning point, (3) representative examples/experiments, and (4) conclusions or climactic resolutions. Assume full reading; revisit these anchors for the 'great conversation' links.",Knowledge; Logic,Truth; Philosophy; Reasoning; Mind
286,Expansion (1990),explicit (1990 expansion title),No,Yes,,Yes,Year 10,10,41,D. H. Lawrence,The Prussian Officer,Focus: buildup of domination; climactic confrontation; aftermath,Focus: buildup of domination; climactic confrontation; aftermath (Revisit these as anchors after reading the whole work),Law; Constitution; Government; Justice; State,"Read entire text. Then: (1) re-read FocusSections, (2) write 3 questions, (3) connect to 1 earlier text.",Yes,"Power, repression","Inferred pattern: focus on (1) openings that define the question and key terms, (2) the author's central argument or dramatic turning point, (3) representative examples/experiments, and (4) conclusions or climactic resolutions. Assume full reading; revisit these anchors for the 'great conversation' links.",Law; Constitution; Government; Justice,State
287,Expansion (1990),explicit (1990 expansion title),No,Yes,,Yes,Year 10,10,42,Virginia Woolf,To the Lighthouse,Focus: 'The Window'; 'Time Passes'; 'The Lighthouse',Focus: 'The Window'; 'Time Passes'; 'The Lighthouse' (Revisit these as anchors after reading the whole work),Change; Eternity; Time; Truth,"Read entire text. Then: (1) re-read FocusSections, (2) write 3 questions, (3) connect to 1 earlier text.",Yes,Modernism & consciousness,"Inferred pattern: focus on (1) openings that define the question and key terms, (2) the author's central argument or dramatic turning point, (3) representative examples/experiments, and (4) conclusions or climactic resolutions. Assume full reading; revisit these anchors for the 'great conversation' links.",Change; Eternity,Time; Truth
288,Expansion (1990),explicit (1990 expansion title),No,Yes,,Yes,Year 10,10,43,Chekhov,Uncle Vanya,Focus: Acts I-II (stasis); Act III (eruption); Act IV (aftermath),Focus: Acts I-II (stasis); Act III (eruption); Act IV (aftermath) (Revisit these as anchors after reading the whole work),Truth; Knowledge; Reasoning; Justice,"Read entire text. Then: (1) re-read FocusSections, (2) write 3 questions, (3) connect to 1 earlier text.",Yes,Modern drama & meaning,"Inferred pattern: focus on (1) openings that define the question and key terms, (2) the author's central argument or dramatic turning point, (3) representative examples/experiments, and (4) conclusions or climactic resolutions. Assume full reading; revisit these anchors for the 'great conversation' links.",Knowledge; Justice,Truth; Reasoning
289,Expansion (1990),explicit (1990 expansion title),No,Yes,,Yes,Year 10,10,44,Beckett,Waiting for Godot,Focus: Act I vs Act II repetitions; 'waiting' theme; ending,Focus: Act I vs Act II repetitions; 'waiting' theme; ending (Revisit these as anchors after reading the whole work),Desire; Life and Death; Mind; Time; Truth; God; Religion; Theology,"Read entire text. Then: (1) re-read FocusSections, (2) write 3 questions, (3) connect to 1 earlier text.",Yes,Absurdism & meaning,"Inferred pattern: focus on (1) openings that define the question and key terms, (2) the author's central argument or dramatic turning point, (3) representative examples/experiments, and (4) conclusions or climactic resolutions. Assume full reading; revisit these anchors for the 'great conversation' links.",Desire; Life and Death; God,Mind; Time; Truth; Religion; Theology
290,Expansion (1990),explicit (1990 expansion title),No,Yes,,Yes,Year 10,10,45,Heidegger,What is Metaphysics?,"(Whole essay) Focus: anxiety, the Nothing, science vs metaphysics","(Whole essay) Focus: anxiety, the Nothing, science vs metaphysics (Revisit these as anchors after reading the whole work)",Being; Metaphysics; Philosophy; Truth; World; Science; Mind; Hypothesis,"Read entire text. Then: (1) re-read FocusSections, (2) write 3 questions, (3) connect to 1 earlier text.",Yes,20th-c metaphysics pivot,"Inferred pattern: focus on (1) openings that define the question and key terms, (2) the author's central argument or dramatic turning point, (3) representative examples/experiments, and (4) conclusions or climactic resolutions. Assume full reading; revisit these anchors for the 'great conversation' links.",Being; Hypothesis,Metaphysics; Philosophy; Truth; World; Science; Mind
